data,site,SSNT,SSNTI,SSME,SSMEI
ACA,eno-2,-9410.669045,-22665.41025,-4168.889429,-22710.34158
BCI,bci,-2875729.6,-6991455.808,-14625.84359,-6991730.078
BVSF,BVPlot,-7266.167344,-19445.59776,-4048.340516,-19480.25489
BVSF,SFPlot,-7093.170816,-18401.55195,-4095.731603,-18425.90435
CSIRO,ep18,-4959.904459,-14810.37725,-2954.331423,-14814.76492
CSIRO,ep19,-3806.067381,-12377.29425,-2284.547049,-12388.3027
CSIRO,ep2,-2232.461474,-14231.25627,-1191.501522,-14238.93076
CSIRO,ep29,-3244.456085,-13839.84748,-1693.568564,-13849.56866
CSIRO,ep3,-4775.906269,-15834.55505,-2540.936595,-15842.0797
CSIRO,ep30,-4230.696481,-17187.15557,-2300.728477,-17204.89205
CSIRO,ep31,-2444.604007,-8203.3608,-1735.248621,-8225.642105
CSIRO,ep32,-5212.052672,-13857.26951,-1813.930151,-13865.24687
CSIRO,ep33,-3169.327782,-11321.43208,-1749.135126,-11331.91378
CSIRO,ep34,-3118.149998,-8913.919868,-2112.686557,-8911.462513
CSIRO,ep35,-3803.303792,-14601.98112,-2257.128402,-14604.46126
CSIRO,ep37,-4545.010955,-14842.20028,-1344.98594,-14857.50721
CSIRO,ep38,-3830.762356,-11751.2076,-2180.218864,-11761.74445
CSIRO,ep4,-4247.950457,-14693.41054,-2366.562396,-14712.88709
CSIRO,ep40,-4143.266795,-15460.76553,-1851.571825,-15477.23974
CSIRO,ep41,-1934.294916,-9613.825093,-1436.373824,-9634.544586
CSIRO,ep42,-3429.917609,-8396.683791,-2197.973283,-8402.373732
CSIRO,ep43,-3395.221642,-12000.9524,-2098.515393,-12016.47935
CSIRO,ep44,-4161.166709,-13293.71134,-1980.088714,-13318.75666
CSIRO,ep9,-5351.904774,-15043.97904,-3263.872179,-15063.41835
FERP,FERP,-64690.91463,-417668.6133,-2030.109007,-417704.4056
LaSelva,1,-15740.81923,-31526.07262,-6519.763754,-31547.61505
LaSelva,2,-12122.6211,-27891.33118,-5850.971525,-27919.15961
LaSelva,3,-11422.19707,-30353.37773,-5453.494159,-30395.48946
LaSelva,4,-8167.591781,-26237.78674,-2966.536963,-26288.77343
LaSelva,5,-10676.89802,-22692.75909,-4481.833589,-22729.62954
NC,12,-31693.04211,-133121.1745,-1445.669142,-133146.3328
NC,13,-27051.3705,-109351.8844,-1227.814827,-109382.9194
NC,14,-39113.714,-190719.0859,-1654.615969,-190745.8051
NC,4,-20594.13898,-95866.8737,-1477.680819,-95896.85349
NC,93,-24696.79259,-109769.9586,-1814.115683,-109800.1098
Oosting,Oosting,-54618.23155,-255230.49,-1621.120874,-255252.7882
Serimbu,S-1,-20225.06236,-44504.77917,-9523.181967,-44576.31744
Serimbu,S-2,-19416.41703,-45905.98588,-10824.79623,-45936.79528
WesternGhats,BSP104,-15899.43678,-40333.71005,-3985.699394,-40352.41215
WesternGhats,BSP11,-9489.423157,-38592.3678,-2638.231991,-38624.07882
WesternGhats,BSP12,-9658.008244,-36717.45609,-2542.81295,-36750.34795
WesternGhats,BSP16,-8338.921683,-28927.64158,-2614.741425,-28954.07018
WesternGhats,BSP27,-4590.127919,-14489.83847,-2333.206935,-14512.63055
WesternGhats,BSP29,-4518.921904,-16983.74243,-2021.636795,-17003.56742
WesternGhats,BSP30,-4892.251778,-17386.93671,-2312.270325,-17393.07234
WesternGhats,BSP36,-11107.19927,-27397.09933,-3348.217999,-27419.10436
WesternGhats,BSP37,-9467.125948,-31418.13468,-2505.453623,-31443.74891
WesternGhats,BSP42,-6473.611707,-20844.38925,-2225.906744,-20861.5616
WesternGhats,BSP5,-7490.081732,-28350.46946,-2767.128865,-28374.15058
WesternGhats,BSP6,-8309.673637,-35571.90266,-3106.882948,-35606.52126
WesternGhats,BSP65,-15238.27364,-55794.02446,-2162.707494,-55829.62673
WesternGhats,BSP66,-4699.170355,-24210.26231,-1437.453282,-24247.14948
WesternGhats,BSP67,-4217.7726,-23519.67203,-1731.382006,-23551.60461
WesternGhats,BSP69,-14444.54355,-42841.94474,-3582.751007,-42879.92385
WesternGhats,BSP70,-8387.371972,-33868.2324,-2461.13525,-33904.02967
WesternGhats,BSP73,-14668.54636,-60070.06084,-2797.802853,-60132.14142
WesternGhats,BSP74,-10977.11884,-45629.46783,-2310.799608,-45661.88434
WesternGhats,BSP75,-2525.433324,-13103.16272,-1671.831761,-13126.76518
WesternGhats,BSP79,-12565.91117,-45579.66057,-3577.707864,-45629.06841
WesternGhats,BSP80,-10881.81502,-43558.99133,-2791.129964,-43596.87826
WesternGhats,BSP82,-11528.73832,-33628.66952,-2703.247405,-33639.43227
WesternGhats,BSP83,-6276.352926,-36579.41573,-2208.553092,-36605.664
WesternGhats,BSP84,-4895.600774,-33778.92757,-2788.2584,-33796.21516
WesternGhats,BSP85,-3439.242017,-16039.35275,-1387.637431,-16054.06096
WesternGhats,BSP88,-8500.931699,-37660.23572,-2314.192935,-37689.99781
WesternGhats,BSP89,-9430.077134,-35522.64876,-2076.898596,-35542.54495
WesternGhats,BSP90,-6460.24116,-31089.61329,-1736.35359,-31115.13063
WesternGhats,BSP91,-3614.007109,-30308.04496,-1548.048803,-30339.73565
WesternGhats,BSP92,-4537.373653,-17824.51259,-2088.228152,-17840.70165
WesternGhats,BSP94,-6488.905305,-20625.30907,-2751.316198,-20637.28111
WesternGhats,BSP98,-4783.488982,-23356.53858,-2903.908562,-23384.25807
WesternGhats,BSP99,-9575.486013,-35534.72684,-2901.340386,-35551.51083
Cocoli,cocoli,-127244.9885,-282604.4422,-7143.784268,-282738.112
Luquillo,lfdp,-718911.3621,-1839971.875,-6147.445424,-1840142.153
Sherman,sherman,-200013.7203,-648724.5284,-9047.207254,-648840.027
