"route","ssnt","ssme","ssnti","ssmei"
"124_04_002",-1859.73787235442,-757.476107639121,-6896.74872448934,-6922.14180126759
"124_04_003",-1435.6833610002,-714.133860734471,-4867.35753011525,-4872.60019837798
"124_04_004",-1004.10041360733,-571.759100976616,-4043.58711416615,-4047.21448389189
"124_04_006",-545.952199340198,-416.950868234838,-2763.05128731376,-2777.02287935713
"124_04_007",-1529.99188849382,-736.676173131346,-7449.48421865605,-7460.38179570989
"124_04_009",-1479.80355917705,-584.640718849606,-4739.28693493847,-4748.72425955329
"124_04_010",-633.929617935092,-442.438125502561,-1660.51147089015,-1661.70926550872
"124_04_013",-1680.91871751375,-733.494295273441,-5865.56226639246,-5879.35599283404
"124_04_014",-913.502958439428,-448.218606816865,-4522.95506446408,-4530.22420229404
"124_04_015",-913.385709696446,-598.937247791349,-2677.44208593257,-2685.04364343839
"124_04_017",-612.610951115529,-325.239038454631,-1987.21023113969,-1989.4137625797
"124_04_018",-939.649941077336,-559.77913125052,-3149.13062197577,-3158.29231605079
"124_04_019",-1167.74104459443,-548.528950755014,-4333.29682238428,-4343.75191325744
"124_04_020",-1668.91494935018,-804.869374467451,-6231.83293156382,-6249.01636257933
"124_04_022",-1309.22096366216,-764.184544619785,-4114.00470009933,-4127.34474221698
"124_04_026",-1740.51302550776,-862.161247308586,-5445.93458537599,-5456.14862124933
"124_04_027",-1023.87271327561,-620.863124312641,-3067.15142076629,-3069.77805059079
"124_04_028",-1702.85078294296,-735.467407984516,-5664.37734161988,-5673.67133581108
"124_04_029",-1280.7495514888,-725.020606585472,-4587.19566375012,-4600.48894755612
"124_04_030",-1287.48456082908,-680.854617878406,-3543.56988240068,-3550.99188308363
"124_04_031",-1196.36927384709,-610.436691682434,-3786.59179811627,-3790.36911610468
"124_04_032",-745.812395501623,-468.536967438453,-1944.79925497752,-1949.7017841094
"124_04_033",-983.859872914923,-528.335512772243,-2475.45852914149,-2486.4295417243
"124_04_034",-529.997680749445,-345.974844905704,-1427.25951871298,-1429.86822613578
"124_04_036",-1688.82309399585,-892.601908281086,-6486.81796640057,-6490.04388005407
"124_04_040",-942.223740638545,-591.394805357085,-3155.29203652209,-3172.51182010571
"124_04_042",-798.437583198304,-497.305767950348,-2198.83156134631,-2200.22889831087
"124_04_043",-668.437330448862,-474.434480301536,-2155.06975208944,-2153.67624260156
"124_04_049",-388.383777867982,-282.042578496393,-766.418814775622,-766.177810314776
"124_04_050",-1137.12083896088,-695.783111363195,-2859.84433968119,-2868.92892975248
"124_04_055",-1081.07366361437,-543.590002138248,-4117.78251723527,-4129.70188056835
"124_04_062",-808.185901083699,-445.069716860355,-2408.31751437605,-2409.60556608124
"124_04_063",-1363.56236454366,-779.618884092798,-4155.22923506852,-4163.50234379912
"124_04_077",-899.553859818276,-454.955566600543,-2089.16842861534,-2096.5883182146
"124_04_078",-936.118958924016,-420.528854814094,-2265.01736339307,-2270.80576233962
"124_04_079",-567.818140732689,-344.201130167067,-1295.6864766491,-1301.79693183402
"124_04_105",-1323.95487522472,-761.740397363557,-2835.00635295004,-2835.75483181365
"124_04_109",-1315.2382582588,-750.517960644948,-9176.45185272426,-9207.0871118596
"124_04_111",-802.366124186673,-467.395099849475,-3769.2236429881,-3773.46064931971
"124_04_112",-1070.20997816191,-579.753864942784,-5319.59441341402,-5332.88358729843
"124_04_113",-1244.84451551168,-603.460150207614,-4998.55017719892,-5018.12086359882
"124_04_114",-1772.47268527415,-709.468803929219,-12283.4146787585,-12335.4622773184
"124_04_115",-2391.28988419429,-713.381506092836,-8359.12329264368,-8369.78176124489
"124_04_116",-794.046316354158,-494.149218078808,-1824.9105886867,-1822.98741534211
"124_04_120",-1139.91926154433,-541.706081822464,-5007.46027213268,-5014.0528049213
"124_04_121",-1466.02405376029,-660.629473979002,-6530.27616629716,-6553.13050979026
"124_04_125",-1063.41571844728,-527.088155562122,-2498.92503901162,-2511.78034604792
"124_04_127",-1575.0038469328,-817.468868335405,-6314.12636053538,-6324.71240542145
"124_04_128",-1074.64758045853,-477.999683225317,-5061.44270605023,-5076.17137943926
"124_04_129",-1604.12985057095,-726.396887018754,-5282.16967927022,-5297.41729582202
"124_04_131",-1567.62991209745,-812.097338064577,-4276.71662409912,-4285.50935774894
"124_04_136",-1012.81332429729,-633.080919852891,-3567.07309934036,-3581.96009954815
"124_04_138",-996.877406950209,-535.119678424475,-2984.41307196385,-2993.37455810762
"124_04_139",-1432.89651142628,-837.347651262607,-7326.25349314568,-7364.55411545584
"124_04_141",-937.730894083098,-482.954432305969,-2458.22261346207,-2467.20506983919
"124_04_143",-1112.06694066,-546.854441588882,-3309.35360756366,-3313.55428014487
"124_04_153",-1104.960805103,-584.222909438472,-2907.08135609272,-2904.88712328079
"124_04_196",-841.211114434862,-414.709289242354,-2055.38700011243,-2062.56563160441
"124_04_201",-763.48339669397,-508.438820294316,-2608.84952712965,-2614.67857112618
"124_04_203",-1103.06626238821,-531.979111953551,-6194.18288108518,-6203.10695059622
"124_04_204",-1235.06284955371,-700.257044202885,-5101.02197011922,-5111.9860879993
"124_04_205",-690.90214519475,-421.929038039215,-1865.68544785085,-1876.52950403605
"124_04_208",-1924.9156619068,-717.082117869116,-8007.0719422009,-8032.53234908917
"124_04_209",-2376.27261998399,-775.145135594986,-11461.0164424583,-11463.662699591
"124_04_210",-1241.61372173443,-653.914911187181,-8087.82468068753,-8110.78282895541
"124_04_211",-707.551301116693,-452.195669886123,-3582.74904500077,-3599.13840489425
"124_04_212",-1255.37582582849,-548.980298197952,-6094.11718461853,-6112.49531593603
"124_04_213",-796.283513596473,-429.708020494821,-3797.20289356908,-3803.48227935254
"124_04_214",-1730.85173136551,-722.047133141023,-8342.83391762847,-8356.44965427717
"124_04_215",-579.153254080597,-340.428880151648,-1548.69762940359,-1553.65653893541
"124_04_220",-1605.26706994889,-804.996142032016,-6437.66657462176,-6462.04867154134
"124_04_221",-1089.85437575926,-651.819521045491,-3457.49509790217,-3474.53653215233
"124_04_225",-422.301369143768,-273.856783984019,-1335.23088747897,-1339.09753054578
"124_04_229",-1710.64234459259,-775.465227885171,-5695.51892817272,-5705.33931206232
"124_04_239",-2324.16112362668,-884.548588749807,-6486.1658375222,-6502.47469349775
"124_04_241",-559.585767080461,-334.500696487732,-1242.31175989062,-1241.51091474062
"124_04_251",-1188.93207440753,-683.133462505496,-3152.81730412569,-3159.51521034117
"124_04_302",-1329.1606954542,-686.042091330908,-5481.09751524006,-5500.36617558761
"124_04_304",-830.577029974451,-453.809560389235,-2669.09610722107,-2673.54948465325
"124_04_306",-1491.77989869841,-623.004097788444,-5021.42242201632,-5025.0502111919
"124_04_309",-2397.97936389367,-867.703076848549,-9699.56144116383,-9699.6686082569
"124_04_311",-1139.8433348075,-559.15720050879,-5888.42661878616,-5913.47744948827
"124_04_315",-745.051032023836,-456.424963727043,-2297.21424098359,-2299.76587091467
"124_04_322",-1209.67437619143,-570.57989594513,-4445.91804278031,-4454.45365207872
"124_04_329",-1230.07875016976,-543.916608573669,-6461.37400312511,-6477.88399128908
"124_04_330",-2989.90074651697,-1042.64986701927,-7954.41314151118,-7974.16366333608
"124_04_338",-2400.78632258184,-956.046018585989,-5860.19623077984,-5867.42817865605
"124_04_404",-1041.37035038862,-571.263286466232,-3075.59722888218,-3082.7387022756
"124_04_412",-574.11770206791,-379.986857486214,-2337.25077290841,-2345.7607518833
"124_04_421",-896.034727221499,-479.842356322207,-2744.04435585691,-2750.11582702175
"124_04_438",-896.41080507323,-497.860833066982,-2093.10874889182,-2098.53692602002
"124_11_001",-860.809564189739,-547.553098285239,-2860.59530083228,-2866.89156133685
"124_11_003",-439.295690764257,-406.905516329136,-2016.11247097777,-2031.65587384663
"124_11_005",-705.51970781165,-439.794318596364,-1611.06765624027,-1615.46649606561
"124_11_006",-1336.49396020507,-697.409893830129,-4376.56658787778,-4374.88895261529
"124_11_007",-1121.20067937945,-671.617694519731,-2788.27350360625,-2797.02786540394
"124_11_009",-535.592163623087,-419.155229872798,-1788.55981962055,-1796.50638809148
"124_11_010",-815.73719124715,-565.51878366491,-3063.61830638033,-3078.89981695306
"124_11_020",-1005.98862498312,-621.033002907036,-3334.70907793194,-3342.77769586107
"124_11_022",-899.689128295153,-704.543549763696,-2601.7215068795,-2604.14461709875
"124_11_029",-1573.05269397399,-782.980775862278,-3800.76052745403,-3802.29615001032
"124_11_032",-795.218405909042,-485.895124747653,-2061.26247398692,-2059.93535312625
"124_11_033",-1018.13089943712,-600.214301960447,-2232.47815414327,-2240.50535451047
"124_11_034",-1310.81136602579,-660.216400625517,-3388.94324538022,-3395.33613336403
"124_11_045",-1168.9936648991,-800.144035631127,-3247.89594141005,-3255.99107873514
"124_11_053",-940.756195248523,-510.655311882429,-2678.93552175071,-2682.64810610636
"124_11_057",-1386.74469785273,-660.81572285143,-3529.14460305659,-3530.83151439239
"124_11_058",-928.589040329844,-438.640646242577,-2639.32295075768,-2640.87989421505
"124_11_065",-1485.7482638332,-659.879322167337,-3753.62421641087,-3759.05806500863
"124_11_068",-908.36245718917,-440.297640902433,-2798.83951953971,-2792.88283432906
"124_11_069",-831.044932579778,-495.978858321929,-2863.12478186611,-2864.45325291826
"124_11_071",-898.261704940689,-438.769824450646,-2301.23175368354,-2302.22045143005
"124_11_072",-977.096486435692,-442.241610295383,-2636.82927274931,-2639.39107340056
"124_11_074",-1109.0630053195,-669.77449807877,-3310.98787534022,-3317.90642130044
"124_11_075",-581.403098787559,-433.214734006205,-1909.80549039323,-1918.58724370097
